"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
5,3,"TGFB1","TGFbR1_R2",0.00171023670233838,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
5,3,"TGFB2","TGFbR1_R2",4.53223757795886e-05,0.03,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
5,3,"TGFB1","ACVR1B_TGFbR2",0.00104521759310952,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
5,3,"TGFB1","ACVR1_TGFbR",0.00476549056856858,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
5,3,"TGFB2","ACVR1_TGFbR",0.000125707744868031,0.02,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
5,3,"TGFB3","ACVR1_TGFbR",0.0025053499269961,0.02,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
5,3,"BMP2","BMPR1A_ACVR2A",0.000504038896925655,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP2","BMPR1A_ACVR2B",0.000270287864480043,0,"BMP2_BMPR1A_ACVR2B","BMP2 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP2","BMPR1A_BMPR2",0.000755551945182956,0,"BMP2_BMPR1A_BMPR2","BMP2 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","ACVR1_ACVR2A",0.00174308573316254,0,"BMP7_ACVR1_ACVR2A","BMP7 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","ACVR1_ACVR2B",0.000936350001032989,0,"BMP7_ACVR1_ACVR2B","BMP7 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","ACVR1_BMPR2",0.00260799048294958,0,"BMP7_ACVR1_BMPR2","BMP7 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","BMPR1A_ACVR2A",0.00129257916089381,0,"BMP7_BMPR1A_ACVR2A","BMP7 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","BMPR1A_ACVR2B",0.000693906947405731,0,"BMP7_BMPR1A_ACVR2B","BMP7 - (BMPR1A+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"BMP7","BMPR1A_BMPR2",0.00193526229523161,0,"BMP7_BMPR1A_BMPR2","BMP7 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
5,3,"GDF11","TGFBR1_ACVR2B",0.000166166241880567,0,"GDF11_TGFBR1_ACVR2B","GDF11 - (TGFBR1+ACVR2B)","GDF","Secreted Signaling","KEGG: hsa04350"
5,3,"GDF11","ACVR1B_ACVR2B",0.000101097346663922,0.01,"GDF11_ACVR1B_ACVR2B","GDF11 - (ACVR1B+ACVR2B)","GDF","Secreted Signaling","KEGG: hsa04350"
5,3,"NRTN","GFRA2_RET",3.90971853712196e-05,0,"NRTN_GFRA2","NRTN - GFRA2","GDNF","Secreted Signaling","PMID: 11544106"
5,3,"INHBB","ACVR1B_ACVR2B",0.000122525775870881,0.03,"INHBB_ACVR1B_ACVR2B","INHBB - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04353"
5,3,"Activin AB","ACVR1B_ACVR2B",0.000106113254157748,0.03,"INHBABB_ACVR1B_ACVR2B","INHBABB - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378"
5,3,"WNT10A","FZD1_LRP5",0.000169571123854126,0,"WNT10A_FZD1_LRP5","WNT10A - (FZD1+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
5,3,"WNT10A","FZD10_LRP5",0.000103725727313676,0,"WNT10A_FZD10_LRP5","WNT10A - (FZD10+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
